Timestamp                       (process)[PID]    
2026-04-26 05:02:12.617387-0500  localhost mobileassetd[267]: (libmobileassetd.dylib) [com.apple.mobileassetd:Notice] finishPartiallyPurgedAssets: {finishPartiallyPurgedAssets} successful purged cleanup | path:/System/Library/AssetsV2/com_apple_MobileAsset_VoiceTriggerAssetsStudioDisplay/com_apple_MobileAsset_VoiceTriggerAssetsStudioDisplay.xml.purged | depth:0
2026-04-26 05:02:12.703363-0500  localhost launchd[1]: [pid/310 [UARPUpdaterServ]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:12.707499-0500  localhost launchd[1]: [pid/313 [UARPUpdaterServ]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:12.713617-0500  localhost launchd[1]: [pid/309 [UARPUpdaterServ]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:13.325122-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:13.325195-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:14.335460-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:14.335539-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:15.345804-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:15.345901-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:16.356179-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:16.356299-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:17.366533-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:17.366643-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:17.510758-0500  localhost systemstats[107]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:17.510892-0500  localhost systemstats[107]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:18.376865-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:18.376916-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:19.377271-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:19.377362-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:20.379655-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:20.379762-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:21.381486-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:21.381619-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:22.112367-0500  localhost locationd[145]: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"GenerationTimestamp", "isFound":1}
2026-04-26 05:02:22.112547-0500  localhost locationd[145]: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"GenerationTimestamp", "isFound":1}
2026-04-26 05:02:22.112706-0500  localhost locationd[145]: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"RecordingTimestamp", "isFound":1}
2026-04-26 05:02:22.112725-0500  localhost locationd[145]: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"ReceivedTimestamp", "isFound":1}
2026-04-26 05:02:22.112864-0500  localhost locationd[145]: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"GenerationTimestamp", "isFound":1}
2026-04-26 05:02:22.113088-0500  localhost locationd[145]: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"ReceivedTimestamp", "isFound":1}
2026-04-26 05:02:22.113238-0500  localhost locationd[145]: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"LastActiveTimestamp", "isFound":1}
2026-04-26 05:02:22.387425-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:22.387592-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:23.397882-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:23.398000-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:24.402788-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:24.402885-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:24.569483-0500  localhost kernel[0]: PMRD: IODisplayWrangler tag flags 100
2026-04-26 05:02:24.570493-0500  localhost kernel[0]: PMRD: Added IODisplayWrangler to idle sleep preventers list (Total 1)
2026-04-26 05:02:24.570499-0500  localhost kernel[0]: PMRD: Idle Sleep Preventers: IODisplayWrangler
2026-04-26 05:02:24.711792-0500  localhost contextstored[261]: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:24.711882-0500  localhost contextstored[261]: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:24.721961-0500  localhost apsd[139]: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:24.741524-0500  localhost PowerChime[326]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:24.741750-0500  localhost timed[141]: [com.apple.timed:text] Cache was never used to set the clock, discarding filesystem timestamp.
2026-04-26 05:02:24.742937-0500  localhost PowerChime[326]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:24.751328-0500  localhost PowerChime[326]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
gpu 0xf909       agdc 0x1000004c9     /AppleIntelFramebufferController/IntelFBClientControl
2026-04-26 05:02:24.906198-0500  localhost apsd[139]: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:24.979713-0500  localhost launchd[1]: [pid/263 [storagekitd]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:25.377362-0500  localhost PowerChime[326]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:25.377439-0500  localhost PowerChime[326]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:25.377547-0500  localhost PowerChime[326]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:25.403251-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:25.403393-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:26.279749-0500  localhost storagekitd[263]: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:26.279750-0500  localhost storagekitd[263]: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:26.317494-0500  localhost storagekitd[263]: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:26.403735-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:26.403830-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:26.729185-0500  localhost storagekitd[263]: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:26.733239-0500  localhost storagekitd[263]: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:27.189442-0500  localhost launchd[1]: [pid/353 [lsd]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:27.189892-0500  localhost launchd[1]: [user/501/com.apple.security.XPCTimeStampingService:] created the implicit endpoint upfront
2026-04-26 05:02:27.189894-0500  localhost launchd[1]: [user/501/com.apple.security.XPCTimeStampingService:] draining messages from com.apple.security.XPCTimeStampingService
2026-04-26 05:02:27.358410-0500  localhost launchd[1]: [pid/355 [secd]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:27.362933-0500  localhost secd[355]: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:27.363604-0500  localhost secd[355]: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:27.363702-0500  localhost secd[355]: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:27.405558-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:27.405638-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:27.474880-0500  localhost secd[355]: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:27.475478-0500  localhost secd[355]: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:27.475855-0500  localhost secd[355]: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:27.476493-0500  localhost secd[355]: (SkyLight) Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:28.406137-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:28.406240-0500  localhost VDCAssistant[249]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:28.724946-0500  localhost kernelmanagerd[129]: Received kext load notification: com.apple.AGDCPluginDisplayMetrics
2026-04-26 05:02:28.724982-0500  localhost kernelmanagerd[129]: Received kext load notification: com.apple.driver.AppleGraphicsControl
2026-04-26 05:02:28.796577-0500  localhost WindowServer[167]: (SkyLight) [com.apple.SkyLight:default] Session 257 retained (2 references)
2026-04-26 05:02:28.796580-0500  localhost WindowServer[167]: (SkyLight) [com.apple.SkyLight:default] Session 257 released (1 references)
2026-04-26 05:02:28.796898-0500  localhost WindowServer[167]: [com.apple.libsystem.libdispatch:] DEPRECATED USE in libdispatch client: dispatch source activated with no event handler set; set a breakpoint on _dispatch_bug_deprecated to debug
2026-04-26 05:02:28.796924-0500  localhost WindowServer[167]: (SkyLight) [com.apple.SkyLight:default] Session 257; WS port 2803, launchd-launched workspace/session manager
2026-04-26 05:02:28.805615-0500  localhost WindowServer[167]: (libxpc.dylib) [com.apple.xpc:connection] [0x7fd3a59058e0] activating connection: mach=true listener=false peer=false name=com.apple.systemstatus
2026-04-26 05:02:28.806503-0500  localhost WindowServer[167]: (CoreFoundation) [com.apple.defaults:User Defaults] All kCFPreferencesCurrentUser domains in this process will be volatile, because homeDirPath starts with /var/empty
2026-04-26 05:02:28.806579-0500  localhost WindowServer[167]: (libxpc.dylib) [com.apple.xpc:connection] [0x600003210000] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2026-04-26 05:02:28.817086-0500  localhost bluetoothd[160]: [com.apple.bluetooth:Server.Accessory] setW1Logging: isTimeStampPeriodicallyEnabled = 0, isDisableDiagnosticsPeriodicallyEnabled = 0, module = 1023, level = 8, log_interval = 100000, power_logging_interval = 0, isCrashLoggingDisabled = 0
2026-04-26 05:02:28.831442-0500  localhost locationd[337]: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"GenerationTimestamp", "isFound":1}
2026-04-26 05:02:28.831697-0500  localhost locationd[337]: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"GenerationTimestamp", "isFound":1}
2026-04-26 05:02:28.831895-0500  localhost locationd[337]: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"RecordingTimestamp", "isFound":1}
2026-04-26 05:02:28.831923-0500  localhost locationd[337]: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"ReceivedTimestamp", "isFound":1}
2026-04-26 05:02:28.832134-0500  localhost locationd[337]: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"GenerationTimestamp", "isFound":1}
2026-04-26 05:02:28.832428-0500  localhost locationd[337]: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"ReceivedTimestamp", "isFound":1}
2026-04-26 05:02:28.832630-0500  localhost locationd[337]: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"LastActiveTimestamp", "isFound":1}
2026-04-26 05:02:28.842354-0500  localhost kernel[0]: (IOgPTPPlugin)   IOTimeSyncTimeSyncTimePort(0xf4ee08de98850008): Has Ethernet HW Timestamps: false
2026-04-26 05:02:28.842355-0500  localhost kernel[0]: (IOgPTPPlugin)   IOTimeSyncTimeSyncTimePort(0xf4ee08de98850008): Has WiFi HW Timestamps: false
2026-04-26 05:02:28.850094-0500  localhost launchd[1]: [pid/337 [locationd]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:28.856678-0500  localhost launchd[1]: [pid/376 [WiFiCloudAssets]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:28.884356-0500  localhost launchd[1]: [pid/338 [softwareupdated]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-26 05:02:28.916734-0500  localhost WindowServer[167]: (CoreDisplay) [com.apple.CoreDisplay:default] [ERROR] - Setting offline display 0x00000000 main in CGXConstructVirtualFramebuffer 	
	0  	    0x7ff8170ad02b	CoreDisplay::AddMainOfflineBreadcrumb(bool, char const*, ...) + 305
	10 	       0x10087d48c	11  WindowServer                        0x000000010087d48c WindowServer + 5260
2026-04-26 05:02:28.917333-0500  localhost WindowServer[167]: (CoreDisplay) [com.apple.CoreDisplay:default] [ERROR] - Setting main display 0x00000000 offline 	
	0  	    0x7ff8170ad02b	CoreDisplay::AddMainOfflineBreadcrumb(bool, char const*, ...) + 305
	10 	       0x10087d48c	11  WindowServer                        0x000000010087d48c WindowServer + 5260
2026-04-26 05:02:28.921964-0500  localhost WindowServer[167]: (CoreDisplay) [com.apple.CoreDisplay:default] [ERROR] - Setting offline display 0x41dc9d00 main in CGXMainDisplayDevice 	
	0  	    0x7ff8170ad02b	CoreDisplay::AddMainOfflineBreadcrumb(bool, char const*, ...) + 305
	9  	       0x10087d48c	10  WindowServer                        0x000000010087d48c WindowServer + 5260
2026-04-26 05:02:28.923432-0500  localhost WindowServer[167]: (SkyLight) [com.apple.SkyLight:default] Session 257 retained (2 references)
2026-04-26 05:02:28.923614-0500  localhost WindowServer[167]: (libxpc.dylib) [com.apple.xpc:connection] [0x6000032000f0] activating connection: mach=true listener=false peer=false name=com.apple.coreservices.launchservicesd
2026-04-26 05:02:28.924637-0500  localhost UVCAssistant[306]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:28.924724-0500  localhost UVCAssistant[306]: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-26 05:02:28.931017-0500  localhost WindowServer[167]: (libxpc.dylib) [com.apple.xpc:connection] [0x60000320c0f0] activating connection: mach=true listener=false peer=false name=com.apple.hidpreferenceshelper
2026-04-26 05:02:28.931253-0500  localhost WindowServer[167]: (libxpc.dylib) [com.apple.xpc:connection] [0x6000032100f0] activating connection: mach=false listener=false peer=false name=com.apple.AmbientDisplayAgent
2026-04-26 05:02:28.931791-0500  localhost launchd[1]: [pid/167 [WindowServer]:] uncorking domain
2026-04-26 05:02:28.931911-0500  localhost launchd[1]: [pid/167 [WindowServer]:] Service stub created for com.apple.appkit.xpc.ColorPickerImageLoader
2026-04-26 05:02:28.932155-0500  localhost launchd[1]: [pid/167 [WindowServer]:] Service stub created for com.apple.appkit.xpc.defaultSyncService
2026-04-26 05:02:28.932160-0500  localhost launchd[1]: [pid/167 [WindowServer]:] Service stub created for com.apple.appkit.xpc.documentPopoverViewService
2026-04-26 05:02:28.932165-0500  localhost launchd[1]: [pid/167 [WindowServer]:] Service stub created for com.apple.appkit.xpc.LegacyExternalColorPickerService.arm64
2026-04-26 05:02:28.932170-0500  localhost launchd[1]: [pid/167 [WindowServer]:] Service stub created for com.apple.appkit.xpc.LegacyExternalColorPickerService.x86_64
2026-04-26 05:02:28.932175-0500  localhost launchd[1]: [pid/167 [WindowServer]:] Service stub created for com.apple.MediaLibraryBrowser
2026-04-26 05:02:28.932180-0500  localhost launchd[1]: [pid/167 [WindowServer]:] Service stub created for com.apple.appkit.xpc.sandboxedServiceRunner
2026-04-26 05:02:28.932184-0500  localhost launchd[1]: [pid/167 [WindowServer]:] Service stub created for com.apple.appkit.xpc.ThemeWidgetControlViewService
2026-04-26 05:02:28.932187-0500  localhost launchd[1]: [pid/167 [WindowServer]:] Service stub created for com.apple.xpc.TypographyPanelService
2026-04-26 05:02:28.932190-0500  localhost launchd[1]: [pid/167 [WindowServer]:] Service stub created for com.apple.automator.xpc.workflowServiceRunner
2026-04-26 05:02:28.932194-0500  localhost launchd[1]: [pid/167 [WindowServer]:] Service stub created for com.apple.appkit.xpc.VersionsUIHelper
2026-04-26 05:02:28.932197-0500  localhost launchd[1]: [pid/167 [WindowServer]:] Service stub created for com.apple.appkit.xpc.openAndSavePanelService
2026-04-26 05:02:28.932324-0500  localhost launchd[1]: [pid/167 [WindowServer]:] Service stub created for com.apple.PerfPowerTelemetryClientRegistrationService
